(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('república', 0.0055282477679853481), 13, (1520, 1506), None, 'hsl(0, 100%, 30%)')
(('habia', 0.0055135764133352671), 13, (1486, 1423), None, 'hsl(0, 100%, 30%)')
(('aun', 0.0053924167424767083), 13, (1258, 1387), None, 'hsl(0, 100%, 30%)')
(('cuenta', 0.005366534898791595), 13, (1386, 1505), None, 'hsl(0, 100%, 30%)')
(('ahora', 0.005366422543241157), 13, (1710, 1608), None, 'hsl(0, 100%, 30%)')
(('rey', 0.0053455158489057715), 13, (1630, 1567), None, 'hsl(0, 100%, 30%)')
(('pueden', 0.0053353961546875276), 13, (1560, 1358), 2, 'hsl(0, 100%, 30%)')
(('aquí', 0.0053300658390054044), 13, (1632, 1610), None, 'hsl(0, 100%, 30%)')
(('ante', 0.0053253319899233638), 13, (1486, 1708), None, 'hsl(0, 100%, 30%)')
(('dios', 0.0053157433568870212), 13, (1413, 1365), 2, 'hsl(0, 100%, 30%)')
(('mundo', 0.0053144227798740916), 13, (1460, 1251), None, 'hsl(0, 100%, 30%)')
(('tierra', 0.0052482650765258631), 13, (1321, 1488), 2, 'hsl(0, 100%, 30%)')
(('aquella', 0.005214426644598571), 13, (1507, 1623), None, 'hsl(0, 100%, 30%)')
(('alguna', 0.0051416706647655205), 13, (1348, 1466), 2, 'hsl(0, 100%, 30%)')
(('muchos', 0.0051398482348582134), 13, (1302, 1392), 2, 'hsl(0, 100%, 30%)')
(('dar', 0.0051308547158831503), 13, (1543, 1375), 2, 'hsl(0, 100%, 30%)')
(('veces', 0.0051149019615250617), 13, (1433, 1746), 2, 'hsl(0, 100%, 30%)')
(('política', 0.0050995428057279092), 13, (1403, 1658), 2, 'hsl(0, 100%, 30%)')
(('fueron', 0.0050793010983990724), 13, (1317, 1651), 2, 'hsl(0, 100%, 30%)')
(('tienen', 0.0050582095271280011), 13, (1568, 1658), 2, 'hsl(0, 100%, 30%)')
(('luego', 0.0050342569920354642), 13, (1371, 1588), None, 'hsl(0, 100%, 30%)')
(('nada', 0.0050259737706215132), 13, (1320, 1524), 2, 'hsl(0, 100%, 30%)')
(('casa', 0.0050259605567575406), 13, (1725, 1505), 2, 'hsl(0, 100%, 30%)')
(('están', 0.0050207175972985041), 13, (1651, 1488), 2, 'hsl(0, 100%, 30%)')
(('primer', 0.0049928134994914096), 13, (1555, 1480), 2, 'hsl(0, 100%, 30%)')
(('estados', 0.0049762510018483055), 13, (1403, 1322), 2, 'hsl(0, 100%, 30%)')
(('grandes', 0.0049701445125161451), 10, (1509, 1293), None, 'hsl(0, 100%, 30%)')
(('nuevo', 0.0049665171759801612), 10, (1564, 1704), None, 'hsl(0, 100%, 30%)')
(('causa', 0.0049464647514889937), 10, (1415, 1695), None, 'hsl(0, 100%, 30%)')
(('mil', 0.004912184841939571), 10, (1650, 1698), None, 'hsl(0, 100%, 30%)')
(('presente', 0.0048888816862189361), 10, (1751, 1503), None, 'hsl(0, 100%, 30%)')
(('será', 0.0048795238246126084), 10, (1398, 1387), None, 'hsl(0, 100%, 30%)')
(('dentro', 0.0048405692358898921), 10, (1421, 1585), None, 'hsl(0, 100%, 30%)')
(('sí', 0.0048365235330983542), 10, (1368, 1510), None, 'hsl(0, 100%, 30%)')
(('demás', 0.0048244334247923952), 10, (1432, 1432), 2, 'hsl(0, 100%, 30%)')
(('efecto', 0.0047620527168809506), 10, (1400, 1469), 2, 'hsl(0, 100%, 30%)')
(('nueva', 0.0047545087717691991), 10, (1507, 1736), None, 'hsl(0, 100%, 30%)')
(('embargo', 0.004752712041613265), 10, (1539, 1690), None, 'hsl(0, 100%, 30%)')
(('sociedad', 0.0047323032358525495), 10, (1607, 1331), 2, 'hsl(0, 100%, 30%)')
(('hoy', 0.0047184984662288392), 10, (1258, 1417), 2, 'hsl(0, 100%, 30%)')
(('estaba', 0.0045964188270970867), 10, (1503, 1701), 2, 'hsl(0, 100%, 30%)')
(('leyes', 0.0045591041625997501), 10, (1287, 1396), None, 'hsl(0, 100%, 30%)')
(('provincia', 0.0045504072702810556), 9, (1718, 1361), None, 'hsl(0, 100%, 30%)')
(('tener', 0.0045295327077314899), 9, (1395, 1516), None, 'hsl(0, 100%, 30%)')
(('objeto', 0.004528359710455088), 9, (1244, 1419), None, 'hsl(0, 100%, 30%)')
(('buenos', 0.0044953598137802446), 9, (1521, 1642), 2, 'hsl(0, 100%, 30%)')
(('hizo', 0.0044940825938975752), 9, (1441, 1401), None, 'hsl(0, 100%, 30%)')
(('valor', 0.0044879924266779947), 9, (1503, 1243), None, 'hsl(0, 100%, 30%)')
(('ellas', 0.0044735806241560701), 9, (1607, 1475), None, 'hsl(0, 100%, 30%)')
(('the', 0.0044602812250596298), 9, (1609, 1361), None, 'hsl(0, 100%, 30%)')
(('ello', 0.0044505281802774757), 9, (1336, 1345), 2, 'hsl(0, 100%, 30%)')
(('hacia', 0.0044471246927531649), 9, (1449, 1469), None, 'hsl(0, 100%, 30%)')
(('casi', 0.0044469598252656756), 9, (1626, 1716), None, 'hsl(0, 100%, 30%)')
(('social', 0.0044415325183874204), 9, (1457, 1444), 2, 'hsl(0, 100%, 30%)')
