(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('rearme', 0.20002081080543077), 13, (1708, 257), None, 'hsl(245, 100%, 30%)')
(('transportista', 0.19398421449168407), 13, (1728, 343), 2, 'hsl(245, 100%, 30%)')
(('couture', 0.19384311341796354), 13, (1830, 240), 2, 'hsl(245, 100%, 30%)')
(('cortisona', 0.19017255518069504), 13, (1909, 234), 2, 'hsl(245, 100%, 30%)')
(('radiactivo', 0.18952051519983279), 13, (1543, 156), None, 'hsl(245, 100%, 30%)')
(('rpm', 0.18538471877317886), 13, (1782, 428), None, 'hsl(245, 100%, 30%)')
(('progesterona', 0.18423221976334181), 13, (1514, 402), 2, 'hsl(245, 100%, 30%)')
(('esteroides', 0.17654081239238711), 13, (1648, 322), 2, 'hsl(246, 100%, 30%)')
(('acth', 0.17392251046158719), 13, (1872, 281), 2, 'hsl(246, 100%, 30%)')
(('requetés', 0.17176135896694336), 13, (1662, 387), 2, 'hsl(246, 100%, 30%)')
(('molotov', 0.17072843189714523), 13, (1964, 289), None, 'hsl(246, 100%, 30%)')
(('ipgh', 0.16961535448984949), 13, (1822, 199), 2, 'hsl(246, 100%, 30%)')
(('muschelkalk', 0.16624618311399622), 13, (1539, 249), None, 'hsl(246, 100%, 30%)')
(('alende', 0.1648340896226701), 13, (1806, 345), 2, 'hsl(246, 100%, 30%)')
(('martiano', 0.16101453312356256), 13, (1867, 425), None, 'hsl(246, 100%, 30%)')
(('eximbank', 0.15787755934974454), 13, (1504, 207), None, 'hsl(246, 100%, 30%)')
(('coreano', 0.15200152480900764), 13, (1702, 197), None, 'hsl(246, 100%, 30%)')
(('óntica', 0.1366934872582769), 12, (1903, 447), None, 'hsl(247, 100%, 30%)')
(('saignes', 0.13592009230506588), 12, (1715, 270), None, 'hsl(247, 100%, 30%)')
(('anoxia', 0.13380061912076521), 12, (1555, 157), 2, 'hsl(247, 100%, 30%)')
(('suriname', 0.13343479900475527), 12, (1795, 434), 2, 'hsl(247, 100%, 30%)')
(('orit', 0.13083184535252551), 12, (1757, 423), None, 'hsl(247, 100%, 30%)')
(('metionina', 0.12934091982651552), 12, (1523, 386), 2, 'hsl(247, 100%, 30%)')
(('incap', 0.12918093193676033), 12, (1509, 155), None, 'hsl(247, 100%, 30%)')
(('lonardi', 0.12855427563631691), 12, (1892, 320), None, 'hsl(247, 100%, 30%)')
(('hjelmslev', 0.12751998615634957), 12, (1731, 387), 2, 'hsl(247, 100%, 30%)')
(('totalitarismos', 0.12683698087240222), 12, (1745, 283), 2, 'hsl(247, 100%, 30%)')
(('béthencourt', 0.12486695368594791), 11, (1595, 358), None, 'hsl(247, 100%, 30%)')
(('osp', 0.12447040725474409), 11, (1643, 405), None, 'hsl(247, 100%, 30%)')
(('inflacionistas', 0.12370497351303998), 11, (1656, 400), 2, 'hsl(247, 100%, 30%)')
(('bentata', 0.12050060574808015), 11, (1892, 222), 2, 'hsl(247, 100%, 30%)')
(('óntico', 0.11948617724251262), 11, (1811, 446), 2, 'hsl(247, 100%, 30%)')
(('parceleros', 0.11847872891424942), 11, (1743, 241), 2, 'hsl(247, 100%, 30%)')
(('sciacca', 0.11846931884830886), 11, (1664, 166), 2, 'hsl(247, 100%, 30%)')
(('lliures', 0.11670371711750732), 11, (1665, 279), None, 'hsl(247, 100%, 30%)')
(('isótopo', 0.11648711627647321), 11, (1792, 387), 2, 'hsl(247, 100%, 30%)')
(('nagy', 0.11648589646428489), 11, (1723, 181), 2, 'hsl(247, 100%, 30%)')
(('limolitas', 0.11623597343142779), 11, (1538, 330), None, 'hsl(247, 100%, 30%)')
(('lutita', 0.11617049062533098), 11, (1506, 305), None, 'hsl(247, 100%, 30%)')
(('antarctic', 0.11608957060340068), 11, (1923, 400), None, 'hsl(247, 100%, 30%)')
(('celofán', 0.11543808369716595), 11, (1719, 355), 2, 'hsl(247, 100%, 30%)')
(('neutrón', 0.11537531021101163), 11, (1704, 426), 2, 'hsl(247, 100%, 30%)')
(('kandinsky', 0.1138664354929825), 9, (1595, 169), None, 'hsl(247, 100%, 30%)')
(('erosionados', 0.11302727093935998), 9, (1838, 357), 2, 'hsl(247, 100%, 30%)')
(('bodino', 0.1102746564637361), 9, (1640, 355), 2, 'hsl(247, 100%, 30%)')
(('escherichia', 0.11009080552808097), 9, (1773, 356), 2, 'hsl(247, 100%, 30%)')
(('monolingües', 0.10937802056973697), 8, (1811, 194), None, 'hsl(247, 100%, 30%)')
(('heparina', 0.10929161837184639), 8, (1974, 281), None, 'hsl(247, 100%, 30%)')
(('aristy', 0.10851657908913427), 8, (1523, 158), None, 'hsl(247, 100%, 30%)')
(('nfi', 0.10726142077409488), 8, (1703, 307), None, 'hsl(247, 100%, 30%)')
(('fassi', 0.10707671641164594), 8, (1665, 234), None, 'hsl(247, 100%, 30%)')
(('eticidad', 0.10643712572138984), 8, (1812, 455), 2, 'hsl(247, 100%, 30%)')
(('katari', 0.10514598903985961), 8, (1635, 163), None, 'hsl(247, 100%, 30%)')
(('caroteno', 0.10491558781127819), 8, (1873, 364), None, 'hsl(247, 100%, 30%)')
(('duvergé', 0.10471936581381955), 8, (1667, 205), 2, 'hsl(247, 100%, 30%)')
(('uztarroz', 0.10208719615174268), 8, (1538, 216), None, 'hsl(247, 100%, 30%)')
(('gronda', 0.10145803071554732), 8, (1769, 184), 2, 'hsl(247, 100%, 30%)')
(('electroforesis', 0.10126775767576227), 7, (1639, 294), None, 'hsl(247, 100%, 30%)')
(('herzl', 0.10111224423812863), 7, (1712, 408), None, 'hsl(247, 100%, 30%)')
(('ciosl', 0.10045597261864875), 7, (1985, 289), None, 'hsl(247, 100%, 30%)')
(('presocráticos', 0.10027666408067547), 6, (1949, 354), None, 'hsl(247, 100%, 30%)')
(('portaviones', 0.099192086445633307), 6, (1868, 213), 2, 'hsl(247, 100%, 30%)')
(('aureomicina', 0.098572085434318613), 6, (1833, 390), 2, 'hsl(247, 100%, 30%)')
(('seseo', 0.09639535820907312), 6, (1671, 354), 2, 'hsl(247, 100%, 30%)')
(('neorrealismo', 0.096076738953333046), 6, (1932, 281), 2, 'hsl(247, 100%, 30%)')
(('oaci', 0.095638665111676568), 6, (1960, 341), None, 'hsl(247, 100%, 30%)')
(('radioisótopos', 0.095190153595613544), 6, (1513, 411), 2, 'hsl(247, 100%, 30%)')
(('hatzfeld', 0.094987909381606311), 6, (1731, 249), 2, 'hsl(247, 100%, 30%)')
(('epidoto', 0.094249376178259264), 6, (1960, 248), 2, 'hsl(247, 100%, 30%)')
(('porfiriano', 0.09377000029401221), 6, (1994, 252), None, 'hsl(247, 100%, 30%)')
(('sanmartiniana', 0.09220515077615532), 6, (1554, 396), 2, 'hsl(247, 100%, 30%)')
(('iduarte', 0.09208901367485825), 6, (1518, 184), 2, 'hsl(247, 100%, 30%)')
(('reacondicionamiento', 0.091081497497687625), 6, (1505, 336), None, 'hsl(248, 100%, 30%)')
(('hindemith', 0.090694313177019162), 6, (1725, 294), None, 'hsl(248, 100%, 30%)')
(('guardini', 0.089862782491939727), 6, (1546, 341), None, 'hsl(248, 100%, 30%)')
(('globigerina', 0.089848377131679688), 6, (1511, 366), None, 'hsl(248, 100%, 30%)')
(('moscardó', 0.089535604197754692), 6, (1743, 397), 2, 'hsl(248, 100%, 30%)')
(('halperín', 0.089393402856270843), 6, (1703, 247), 2, 'hsl(248, 100%, 30%)')
(('odria', 0.08904228922246632), 6, (1931, 290), 2, 'hsl(248, 100%, 30%)')
(('benelux', 0.089017868409472067), 6, (1581, 314), 2, 'hsl(248, 100%, 30%)')
(('huastecos', 0.087387133875583542), 6, (1550, 266), None, 'hsl(248, 100%, 30%)')
(('penedés', 0.087310703030943029), 6, (1913, 440), None, 'hsl(248, 100%, 30%)')
(('adonais', 0.087128133835572982), 6, (1731, 302), None, 'hsl(248, 100%, 30%)')
(('ahuizote', 0.086671965506440393), 6, (1718, 435), 2, 'hsl(248, 100%, 30%)')
(('boaco', 0.086583516548065148), 6, (1818, 229), None, 'hsl(248, 100%, 30%)')
(('bendix', 0.086576767673887695), 6, (1799, 247), 2, 'hsl(248, 100%, 30%)')
(('jeeps', 0.086320339020569056), 6, (1672, 232), None, 'hsl(248, 100%, 30%)')
(('deveali', 0.086063790758366246), 6, (1675, 425), 2, 'hsl(248, 100%, 30%)')
(('acheson', 0.08566818049793011), 6, (1727, 259), None, 'hsl(248, 100%, 30%)')
(('gammas', 0.085248599644897352), 6, (1880, 481), 2, 'hsl(248, 100%, 30%)')
(('niacina', 0.084771900714752713), 6, (1854, 344), 2, 'hsl(248, 100%, 30%)')
(('vermudo', 0.084407480182346617), 6, (1790, 424), 2, 'hsl(248, 100%, 30%)')
(('shigella', 0.084312516995723258), 6, (1836, 249), 2, 'hsl(248, 100%, 30%)')
(('aislacionista', 0.084280087201976106), 6, (1932, 401), None, 'hsl(248, 100%, 30%)')
(('globorotalia', 0.083634519196258597), 6, (1589, 320), None, 'hsl(248, 100%, 30%)')
(('codovilla', 0.082558913392009006), 6, (1772, 426), None, 'hsl(248, 100%, 30%)')
(('francovich', 0.08204313066331971), 6, (1828, 281), 2, 'hsl(248, 100%, 30%)')
(('menghin', 0.081856861172647039), 6, (1709, 217), None, 'hsl(248, 100%, 30%)')
(('tlatilco', 0.081329268767909191), 6, (1516, 396), 2, 'hsl(248, 100%, 30%)')
(('asomante', 0.08125645661811827), 6, (1650, 332), 2, 'hsl(248, 100%, 30%)')
(('simulium', 0.081185826503219261), 6, (1504, 162), None, 'hsl(248, 100%, 30%)')
(('perette', 0.081016576323821657), 6, (1822, 286), 2, 'hsl(248, 100%, 30%)')
(('ramfis', 0.080817156818876759), 6, (1555, 177), 2, 'hsl(248, 100%, 30%)')
(('maillefer', 0.080720945462217086), 6, (1589, 210), None, 'hsl(248, 100%, 30%)')
(('iusnaturalismo', 0.080465558809184823), 6, (1900, 400), None, 'hsl(248, 100%, 30%)')
(('enchiridion', 0.080454811843654772), 6, (1678, 174), 2, 'hsl(248, 100%, 30%)')
(('unies', 0.079941828524583189), 6, (1625, 198), 2, 'hsl(248, 100%, 30%)')
(('ankara', 0.079606670596598955), 6, (1635, 395), None, 'hsl(248, 100%, 30%)')
(('excavations', 0.079448134483934632), 6, (1673, 290), None, 'hsl(248, 100%, 30%)')
(('margalef', 0.07926124509039173), 6, (1913, 245), 2, 'hsl(248, 100%, 30%)')
(('cordierita', 0.079209873970184183), 6, (1547, 215), None, 'hsl(248, 100%, 30%)')
(('creóle', 0.078731485247633973), 6, (1751, 218), 2, 'hsl(248, 100%, 30%)')
(('fotostáticas', 0.078701004934572993), 6, (1758, 249), 2, 'hsl(248, 100%, 30%)')
(('goico', 0.0779891459105128), 6, (1589, 273), None, 'hsl(248, 100%, 30%)')
(('proteins', 0.077929869469954435), 6, (1570, 414), 2, 'hsl(248, 100%, 30%)')
(('soustelle', 0.07759972452364837), 6, (1824, 462), 2, 'hsl(248, 100%, 30%)')
(('maternoinfantil', 0.076973165936174925), 5, (1901, 320), None, 'hsl(248, 100%, 30%)')
(('problematicidad', 0.076499746393236839), 5, (1555, 166), 2, 'hsl(248, 100%, 30%)')
(('mecanografiada', 0.076466831596818705), 4, (1508, 271), None, 'hsl(248, 100%, 30%)')
(('galich', 0.075972708550271384), 4, (1866, 291), 2, 'hsl(248, 100%, 30%)')
(('suroccidental', 0.075951023970579859), 4, (1720, 219), 2, 'hsl(248, 100%, 30%)')
(('xilografía', 0.07559264557338552), 4, (1603, 186), 2, 'hsl(248, 100%, 30%)')
(('tradicionalidad', 0.075556488326513835), 4, (1889, 323), None, 'hsl(248, 100%, 30%)')
(('refirma', 0.07470385883774866), 4, (1550, 311), None, 'hsl(248, 100%, 30%)')
(('intrahistoria', 0.074647171653665967), 4, (1515, 189), 2, 'hsl(248, 100%, 30%)')
(('bandung', 0.074084444755440765), 4, (1849, 203), None, 'hsl(248, 100%, 30%)')
(('arrendaticio', 0.074073735549234881), 4, (1667, 252), None, 'hsl(248, 100%, 30%)')
(('axiológicas', 0.073852055101711278), 4, (1848, 431), None, 'hsl(248, 100%, 30%)')
(('meany', 0.073500019601861921), 4, (1916, 230), 2, 'hsl(248, 100%, 30%)')
(('hazm', 0.073148185423702147), 4, (1844, 218), 2, 'hsl(248, 100%, 30%)')
(('nudelman', 0.073010393571476304), 4, (1549, 242), None, 'hsl(248, 100%, 30%)')
(('émile', 0.072967441307292297), 4, (1700, 354), 2, 'hsl(248, 100%, 30%)')
(('ranquil', 0.072694012229432461), 4, (1904, 285), 2, 'hsl(248, 100%, 30%)')
(('hymenoptera', 0.072594539569103528), 4, (1905, 320), 2, 'hsl(248, 100%, 30%)')
(('pelágicas', 0.072282858792138277), 4, (1553, 183), None, 'hsl(248, 100%, 30%)')
(('microclino', 0.072258733591879287), 4, (1803, 399), 2, 'hsl(248, 100%, 30%)')
(('cuántico', 0.072128022580953965), 4, (1685, 408), 2, 'hsl(248, 100%, 30%)')
(('menasha', 0.071776005302851817), 4, (1644, 160), 2, 'hsl(248, 100%, 30%)')
(('tupaj', 0.071518500156730946), 4, (1614, 360), 2, 'hsl(248, 100%, 30%)')
(('khrushchev', 0.071427269890737402), 4, (1551, 350), None, 'hsl(248, 100%, 30%)')
(('metaphysik', 0.071332616734565021), 4, (1848, 319), 2, 'hsl(248, 100%, 30%)')
(('antibiótica', 0.071007912550826627), 4, (1878, 218), 2, 'hsl(248, 100%, 30%)')
(('planctónicos', 0.070972803735298795), 4, (1536, 160), None, 'hsl(248, 100%, 30%)')
(('pigidio', 0.070949776516891092), 4, (1649, 395), None, 'hsl(248, 100%, 30%)')
(('rosenblueth', 0.070157485525678145), 4, (1848, 349), 2, 'hsl(248, 100%, 30%)')
(('coleóptera', 0.070085188542901744), 4, (1645, 362), 2, 'hsl(248, 100%, 30%)')
(('comissão', 0.07004320041867737), 4, (1940, 402), None, 'hsl(248, 100%, 30%)')
(('canaris', 0.069594223366014563), 4, (1970, 241), 2, 'hsl(248, 100%, 30%)')
(('landínez', 0.069434041449970632), 4, (1748, 320), 2, 'hsl(248, 100%, 30%)')
(('mazeaud', 0.068767599379479558), 4, (1642, 173), 2, 'hsl(248, 100%, 30%)')
(('endospermo', 0.068457775658388412), 4, (1880, 238), 2, 'hsl(248, 100%, 30%)')
(('vacacionales', 0.06839548935165507), 4, (1722, 174), 2, 'hsl(248, 100%, 30%)')
(('fallamiento', 0.068163752320628337), 4, (1684, 335), 2, 'hsl(248, 100%, 30%)')
(('heideggeriano', 0.067960174259705755), 4, (1594, 157), 2, 'hsl(248, 100%, 30%)')
(('maycotte', 0.067643800922335462), 4, (1752, 178), 2, 'hsl(248, 100%, 30%)')
(('podetti', 0.067272043973157433), 4, (1514, 211), None, 'hsl(248, 100%, 30%)')
(('abréu', 0.066849380133523109), 4, (1920, 447), 2, 'hsl(248, 100%, 30%)')
(('eréndira', 0.066036840944232525), 4, (1622, 203), 2, 'hsl(248, 100%, 30%)')
(('bhc', 0.065925613675937772), 4, (1902, 361), None, 'hsl(248, 100%, 30%)')
(('terramicina', 0.06589861356405137), 4, (1593, 249), None, 'hsl(248, 100%, 30%)')
(('cultismos', 0.065521004306137484), 4, (1961, 356), None, 'hsl(248, 100%, 30%)')
(('banu', 0.06536497515249412), 4, (1890, 474), 2, 'hsl(248, 100%, 30%)')
(('villaveces', 0.065216185860200421), 4, (1718, 408), None, 'hsl(248, 100%, 30%)')
(('klm', 0.065013092963597141), 4, (1895, 360), None, 'hsl(248, 100%, 30%)')
(('tauler', 0.064892039551082664), 4, (1769, 193), 2, 'hsl(248, 100%, 30%)')
(('chinchero', 0.064596096222362828), 4, (1737, 191), 2, 'hsl(248, 100%, 30%)')
(('sodre', 0.064232972413997141), 4, (1805, 445), None, 'hsl(248, 100%, 30%)')
(('láscaris', 0.063946628706452374), 4, (1902, 378), None, 'hsl(248, 100%, 30%)')
(('notarialmente', 0.06369593326523712), 4, (1636, 235), None, 'hsl(248, 100%, 30%)')
(('procaína', 0.063657449363932986), 4, (1884, 367), 2, 'hsl(248, 100%, 30%)')
(('crefal', 0.063615795381033152), 4, (1712, 201), None, 'hsl(248, 100%, 30%)')
(('biocenosis', 0.063533786188715469), 4, (1880, 291), 2, 'hsl(248, 100%, 30%)')
(('coromoto', 0.063435846174093716), 4, (1581, 297), 2, 'hsl(248, 100%, 30%)')
(('machiques', 0.063357666056433795), 4, (1615, 216), 2, 'hsl(248, 100%, 30%)')
(('humanisme', 0.063214879211992439), 4, (1796, 429), 2, 'hsl(248, 100%, 30%)')
(('matarani', 0.063136976908965539), 4, (1778, 292), 2, 'hsl(248, 100%, 30%)')
(('wilbert', 0.062796856286252048), 4, (1684, 214), 2, 'hsl(248, 100%, 30%)')
(('adoctrinados', 0.06255315475786119), 4, (1890, 230), 2, 'hsl(248, 100%, 30%)')
(('dupouy', 0.062398951984395178), 4, (1923, 382), None, 'hsl(248, 100%, 30%)')
(('sagan', 0.062323089534159409), 4, (1858, 201), None, 'hsl(248, 100%, 30%)')
(('rouault', 0.062196608151160737), 4, (1966, 341), None, 'hsl(248, 100%, 30%)')
(('oligoelementos', 0.06208434157867667), 4, (1598, 245), 2, 'hsl(248, 100%, 30%)')
(('seurat', 0.061713872950678587), 4, (1576, 175), None, 'hsl(248, 100%, 30%)')
(('chamulas', 0.061646662303885366), 4, (1514, 308), None, 'hsl(248, 100%, 30%)')
(('fosfolípidos', 0.061394804801217), 4, (1958, 315), None, 'hsl(248, 100%, 30%)')
(('beria', 0.061361535321788493), 4, (1615, 230), 2, 'hsl(248, 100%, 30%)')
(('piache', 0.061236543897781028), 4, (1580, 302), 2, 'hsl(248, 100%, 30%)')
(('musik', 0.061086970087302211), 4, (1684, 363), 2, 'hsl(248, 100%, 30%)')
(('rociamiento', 0.061081487966171619), 4, (1878, 450), None, 'hsl(248, 100%, 30%)')
(('entitativa', 0.060990408551223556), 4, (1866, 395), None, 'hsl(248, 100%, 30%)')
(('desbloqueo', 0.060610185509715891), 4, (1647, 424), 2, 'hsl(248, 100%, 30%)')
(('mycobacterium', 0.060490648823775875), 4, (1529, 375), 2, 'hsl(248, 100%, 30%)')
(('thermal', 0.060460920342353466), 4, (1782, 452), 2, 'hsl(248, 100%, 30%)')
(('asilante', 0.059798825793652817), 4, (1794, 192), 2, 'hsl(248, 100%, 30%)')
(('carbide', 0.059571915953128607), 4, (1863, 249), 2, 'hsl(248, 100%, 30%)')
(('shang', 0.059431168694044231), 4, (1554, 200), None, 'hsl(248, 100%, 30%)')
(('communism', 0.059278542635753446), 4, (1711, 302), None, 'hsl(248, 100%, 30%)')
(('malenkov', 0.059185571896021485), 4, (2002, 249), None, 'hsl(248, 100%, 30%)')
(('aréchiga', 0.059172215351220456), 4, (1701, 268), None, 'hsl(248, 100%, 30%)')
(('coombs', 0.05906560578507724), 4, (1958, 295), None, 'hsl(248, 100%, 30%)')
(('bocángel', 0.058920771327935113), 4, (1643, 388), 2, 'hsl(248, 100%, 30%)')
(('tetraciclina', 0.058782464892945877), 4, (1718, 377), None, 'hsl(248, 100%, 30%)')
(('necessário', 0.05876730841631965), 4, (1852, 450), None, 'hsl(248, 100%, 30%)')
(('alfínger', 0.058766088910350421), 4, (1712, 354), None, 'hsl(248, 100%, 30%)')
(('izábal', 0.058735191624241422), 4, (1914, 471), None, 'hsl(248, 100%, 30%)')
(('rhizobium', 0.058601521768444562), 4, (1589, 374), None, 'hsl(248, 100%, 30%)')
(('wolframio', 0.058213100666793922), 4, (1779, 363), 2, 'hsl(248, 100%, 30%)')
(('tairona', 0.058195913112837699), 4, (1688, 197), 2, 'hsl(248, 100%, 30%)')
(('idish', 0.05783516424816413), 4, (1974, 331), None, 'hsl(248, 100%, 30%)')
(('argar', 0.057797702855145933), 4, (1715, 212), 2, 'hsl(248, 100%, 30%)')
(('verdross', 0.057769021701442422), 4, (1819, 292), 2, 'hsl(248, 100%, 30%)')
(('zardoya', 0.057267700684946569), 4, (1919, 453), None, 'hsl(248, 100%, 30%)')
(('meche', 0.057084992246319251), 4, (1751, 442), 2, 'hsl(248, 100%, 30%)')
(('hauemos', 0.056764674052086954), 4, (1636, 214), None, 'hsl(248, 100%, 30%)')
(('arabica', 0.056735532595266605), 4, (1869, 413), 2, 'hsl(248, 100%, 30%)')
(('isotópica', 0.05649036926747196), 4, (1769, 265), None, 'hsl(248, 100%, 30%)')
(('turén', 0.056378248813067904), 4, (1630, 186), 2, 'hsl(248, 100%, 30%)')
(('autodominio', 0.05626337471549734), 4, (1657, 408), 2, 'hsl(248, 100%, 30%)')
(('barrault', 0.05585012539846116), 4, (1597, 257), None, 'hsl(248, 100%, 30%)')
(('anaco', 0.055760776676444433), 4, (1504, 401), None, 'hsl(248, 100%, 30%)')
(('ranger', 0.055731995328369005), 4, (1733, 283), None, 'hsl(248, 100%, 30%)')
(('britten', 0.055700776515454048), 4, (1875, 263), None, 'hsl(248, 100%, 30%)')
(('ufco', 0.055481542345168881), 4, (1858, 282), 2, 'hsl(248, 100%, 30%)')
(('estrenará', 0.055099738709456142), 4, (1540, 380), 2, 'hsl(248, 100%, 30%)')
(('hebrew', 0.055040393878725134), 4, (1898, 257), None, 'hsl(248, 100%, 30%)')
(('tupe', 0.055029066906837086), 4, (1697, 425), None, 'hsl(248, 100%, 30%)')
(('garcidueñas', 0.055001546454914722), 4, (1835, 424), 2, 'hsl(248, 100%, 30%)')
(('rudi', 0.055000506086815455), 4, (1909, 482), 2, 'hsl(248, 100%, 30%)')
(('sertón', 0.054951696503135042), 4, (1751, 428), None, 'hsl(248, 100%, 30%)')
(('oclusales', 0.054372631481286036), 4, (1746, 292), 2, 'hsl(248, 100%, 30%)')
(('guayasamín', 0.053992367376879562), 4, (1877, 422), None, 'hsl(248, 100%, 30%)')
(('nipho', 0.053886044867849835), 4, (1641, 188), None, 'hsl(248, 100%, 30%)')
(('luftwaffe', 0.053749206220909319), 4, (1590, 291), 2, 'hsl(248, 100%, 30%)')
(('sampay', 0.053717792504088431), 4, (1652, 412), 2, 'hsl(248, 100%, 30%)')
(('biótico', 0.053521714433329634), 4, (1568, 154), 2, 'hsl(248, 100%, 30%)')
(('wechsler', 0.053428861100311545), 4, (1799, 443), None, 'hsl(248, 100%, 30%)')
(('trolebuses', 0.053321065037941054), 4, (1981, 303), None, 'hsl(248, 100%, 30%)')
(('ullastres', 0.053312707621930522), 4, (1804, 221), None, 'hsl(248, 100%, 30%)')
(('desvelamiento', 0.053275526904317839), 4, (1793, 252), 2, 'hsl(248, 100%, 30%)')
(('borlenghi', 0.053239487951792737), 4, (1514, 244), None, 'hsl(248, 100%, 30%)')
(('estratego', 0.053110005975250153), 4, (1594, 346), 2, 'hsl(248, 100%, 30%)')
(('histéresis', 0.053075540266396548), 4, (1916, 252), 2, 'hsl(248, 100%, 30%)')
(('inmanentista', 0.05301938893788901), 4, (1891, 487), 2, 'hsl(248, 100%, 30%)')
(('subcuenca', 0.05299450221319317), 4, (1530, 153), None, 'hsl(248, 100%, 30%)')
(('gubern', 0.052974044588668112), 4, (1886, 269), None, 'hsl(248, 100%, 30%)')
(('abü', 0.052905765110821783), 4, (1883, 247), 2, 'hsl(248, 100%, 30%)')
(('parpalló', 0.052724639535152572), 4, (1513, 268), None, 'hsl(248, 100%, 30%)')
(('bgb', 0.052641125951049438), 4, (1883, 472), None, 'hsl(248, 100%, 30%)')
(('juglaresco', 0.052591259272913485), 4, (1782, 265), None, 'hsl(248, 100%, 30%)')
(('gasperi', 0.052173323974513131), 4, (1823, 396), 2, 'hsl(248, 100%, 30%)')
(('cadilla', 0.05212649751074324), 4, (1848, 305), None, 'hsl(248, 100%, 30%)')
(('ultrasonidos', 0.052002817879387625), 4, (1596, 213), None, 'hsl(248, 100%, 30%)')
(('unesco', 1.0), 90, (1066, 326), 2, 'hsl(181, 100%, 30%)')
(('subdesarrollados', 0.6131841522199819), 32, (1410, 157), None, 'hsl(208, 100%, 30%)')
(('vietnam', 0.55430162107874814), 30, (1129, 239), 2, 'hsl(212, 100%, 30%)')
(('sartre', 0.49592555775985159), 28, (1216, 396), 2, 'hsl(216, 100%, 30%)')
(('asistenciales', 0.25865163613615777), 21, (1057, 302), 2, 'hsl(232, 100%, 30%)')
(('gaulle', 0.24634155254941445), 21, (1252, 198), None, 'hsl(233, 100%, 30%)')
(('planificada', 0.19805725008740488), 19, (1266, 269), 2, 'hsl(236, 100%, 30%)')
(('reactor', 0.18412862817291842), 18, (1112, 264), 2, 'hsl(237, 100%, 30%)')
(('viet', 0.18162719908051506), 18, (1359, 224), None, 'hsl(237, 100%, 30%)')
(('ypf', 0.1450950103922756), 16, (1332, 398), 2, 'hsl(240, 100%, 30%)')
(('herbicidas', 0.14328550666509324), 16, (1389, 300), None, 'hsl(240, 100%, 30%)')
(('neutrones', 0.13877806239504423), 16, (1455, 325), None, 'hsl(240, 100%, 30%)')
(('subdesarrolladas', 0.12351803573099643), 15, (1035, 236), None, 'hsl(241, 100%, 30%)')
(('descolonización', 0.11865720673021757), 15, (1472, 195), None, 'hsl(241, 100%, 30%)')
(('eudeba', 0.11633322904582712), 15, (1278, 296), 2, 'hsl(242, 100%, 30%)')
(('marcuse', 0.11550074950578855), 15, (1368, 366), None, 'hsl(242, 100%, 30%)')
(('ghana', 0.10957415294524198), 15, (1178, 431), 2, 'hsl(242, 100%, 30%)')
(('cibernética', 0.10901721855022233), 15, (1099, 376), 2, 'hsl(242, 100%, 30%)')
(('teilhard', 0.10839984768642801), 15, (1480, 361), None, 'hsl(242, 100%, 30%)')
(('jordania', 0.10651197108570869), 15, (1441, 156), None, 'hsl(242, 100%, 30%)')
(('msn', 0.093934384863811921), 14, (1374, 277), 2, 'hsl(243, 100%, 30%)')
(('olmeca', 0.092053860682726182), 14, (1330, 201), 2, 'hsl(243, 100%, 30%)')
(('colonialistas', 0.090731485952809957), 14, (1090, 414), 2, 'hsl(243, 100%, 30%)')
(('dasein', 0.087871548801776306), 14, (1105, 394), 2, 'hsl(243, 100%, 30%)')
(('nylon', 0.08531804708991933), 14, (1127, 436), 2, 'hsl(244, 100%, 30%)')
(('rialp', 0.084601998964589253), 14, (1237, 280), None, 'hsl(244, 100%, 30%)')
(('ecopetrol', 0.084300370393625257), 14, (1106, 281), 2, 'hsl(244, 100%, 30%)')
(('vietnamita', 0.082721569812897161), 14, (1270, 241), 2, 'hsl(244, 100%, 30%)')
(('anchoveta', 0.082336271972210481), 14, (1079, 227), None, 'hsl(244, 100%, 30%)')
(('autoabastecimiento', 0.081476986863424472), 14, (1270, 178), 2, 'hsl(244, 100%, 30%)')
(('fromm', 0.077536167527068225), 14, (1233, 422), 2, 'hsl(244, 100%, 30%)')
(('adenauer', 0.074192454787996784), 14, (1440, 260), None, 'hsl(244, 100%, 30%)')
(('morfema', 0.070821496282552104), 14, (1179, 376), 2, 'hsl(245, 100%, 30%)')
(('fap', 0.069157621559018681), 14, (1381, 405), 2, 'hsl(245, 100%, 30%)')
(('germani', 0.069091769684966414), 14, (1176, 213), 2, 'hsl(245, 100%, 30%)')
(('anticomunistas', 0.068974732753608034), 14, (1455, 216), None, 'hsl(245, 100%, 30%)')
(('paracaidistas', 0.068675462927410266), 14, (1434, 329), None, 'hsl(245, 100%, 30%)')
(('kruschev', 0.065853219010666098), 14, (1081, 426), None, 'hsl(245, 100%, 30%)')
(('lliga', 0.065682544713158222), 14, (1140, 215), 2, 'hsl(245, 100%, 30%)')
(('llull', 0.065593548726288475), 14, (1391, 190), None, 'hsl(245, 100%, 30%)')
(('microfilm', 0.063243067585700974), 14, (1269, 214), 2, 'hsl(245, 100%, 30%)')
(('odeca', 0.062073925200928172), 14, (1180, 391), None, 'hsl(245, 100%, 30%)')
