(('tener', 0.0045295327077314899), 10, (1595, 1611), None, 'hsl(0, 100%, 30%)')
(('objeto', 0.004528359710455088), 10, (1693, 1543), 2, 'hsl(0, 100%, 30%)')
(('buenos', 0.0044953598137802446), 10, (1356, 1519), None, 'hsl(0, 100%, 30%)')
(('hizo', 0.0044940825938975752), 10, (1567, 1449), 2, 'hsl(0, 100%, 30%)')
(('valor', 0.0044879924266779947), 10, (1714, 1483), 2, 'hsl(0, 100%, 30%)')
(('ellas', 0.0044735806241560701), 10, (1527, 1752), 2, 'hsl(0, 100%, 30%)')
(('the', 0.0044602812250596298), 10, (1327, 1466), 2, 'hsl(0, 100%, 30%)')
(('ello', 0.0044505281802774757), 10, (1423, 1247), 2, 'hsl(0, 100%, 30%)')
(('hacia', 0.0044471246927531649), 10, (1706, 1622), 2, 'hsl(0, 100%, 30%)')
(('casi', 0.0044469598252656756), 10, (1630, 1279), 2, 'hsl(0, 100%, 30%)')
(('social', 0.0044415325183874204), 10, (1646, 1395), 2, 'hsl(0, 100%, 30%)')
(('casos', 0.0044409652809580345), 10, (1420, 1456), None, 'hsl(0, 100%, 30%)')
(('derechos', 0.0044198225776840901), 10, (1484, 1364), 2, 'hsl(0, 100%, 30%)')
(('obras', 0.0044128460044532622), 10, (1309, 1359), None, 'hsl(0, 100%, 30%)')
(('algunas', 0.0044088994304240983), 10, (1329, 1296), 2, 'hsl(0, 100%, 30%)')
(('partes', 0.0043600531170669178), 10, (1648, 1613), None, 'hsl(0, 100%, 30%)')
(('mejor', 0.0043593551159437551), 10, (1577, 1375), None, 'hsl(0, 100%, 30%)')
(('do', 0.004356623029401591), 10, (1397, 1415), 2, 'hsl(0, 100%, 30%)')
(('cosas', 0.0043456427932816186), 10, (1257, 1513), None, 'hsl(0, 100%, 30%)')
(('hemos', 0.004338910418445573), 10, (1309, 1585), 2, 'hsl(0, 100%, 30%)')
(('respecto', 0.0043183131572255371), 10, (1325, 1305), None, 'hsl(0, 100%, 30%)')
(('cuatro', 0.0043118160924244869), 10, (1651, 1310), 2, 'hsl(0, 100%, 30%)')
(('además', 0.004303241104193725), 10, (1471, 1600), 2, 'hsl(0, 100%, 30%)')
(('siguiente', 0.0042812494794055318), 10, (1513, 1388), 2, 'hsl(0, 100%, 30%)')
