(('things', 0.00495497891683889), 11, (1623, 1396), None, 'hsl(0, 100%, 30%)')
(('find', 0.0049502682620526815), 11, (1433, 1738), None, 'hsl(0, 100%, 30%)')
(('act', 0.0049416310160539838), 11, (1674, 1312), None, 'hsl(0, 100%, 30%)')
(('name', 0.0049056022603117967), 11, (1251, 1403), 2, 'hsl(0, 100%, 30%)')
(('nothing', 0.0048949485738830527), 10, (1737, 1403), None, 'hsl(0, 100%, 30%)')
(('four', 0.0048898209786632941), 10, (1610, 1603), None, 'hsl(0, 100%, 30%)')
(('lord', 0.0048809740932183677), 10, (1315, 1669), None, 'hsl(0, 100%, 30%)')
(('children', 0.0048721772132215976), 10, (1283, 1388), 2, 'hsl(0, 100%, 30%)')
(('until', 0.0048224982797352555), 10, (1683, 1316), None, 'hsl(0, 100%, 30%)')
(('think', 0.004818469546629141), 10, (1695, 1483), 2, 'hsl(0, 100%, 30%)')
(('history', 0.0047732543852950201), 10, (1384, 1596), 2, 'hsl(0, 100%, 30%)')
(('days', 0.0047710567154049541), 10, (1262, 1596), None, 'hsl(0, 100%, 30%)')
(('following', 0.004742792468682853), 10, (1752, 1493), None, 'hsl(0, 100%, 30%)')
(('am', 0.0047392658421314239), 10, (1599, 1543), None, 'hsl(0, 100%, 30%)')
(('known', 0.0046948594712766748), 10, (1505, 1379), None, 'hsl(0, 100%, 30%)')
(('several', 0.0046840790132673315), 10, (1321, 1591), 2, 'hsl(0, 100%, 30%)')
(('city', 0.0046832550905205909), 10, (1390, 1656), 2, 'hsl(0, 100%, 30%)')
(('united', 0.0046793984127281455), 10, (1572, 1592), None, 'hsl(0, 100%, 30%)')
(('american', 0.0046586631074520182), 10, (1532, 1459), None, 'hsl(0, 100%, 30%)')
(('ever', 0.0046524145251386094), 10, (1425, 1699), 2, 'hsl(0, 100%, 30%)')
(('ii', 0.0046481721959210536), 10, (1549, 1317), None, 'hsl(0, 100%, 30%)')
(('body', 0.004642791206015514), 10, (1721, 1368), None, 'hsl(0, 100%, 30%)')
(('set', 0.0046335926886217635), 10, (1341, 1398), 2, 'hsl(0, 100%, 30%)')
(('land', 0.0046278834106439487), 10, (1527, 1349), 2, 'hsl(0, 100%, 30%)')
(('mind', 0.0046257792834036417), 10, (1292, 1644), None, 'hsl(0, 100%, 30%)')
(('themselves', 0.0046204883864749231), 9, (1323, 1654), None, 'hsl(0, 100%, 30%)')
(('seen', 0.0046066716088773987), 9, (1601, 1493), None, 'hsl(0, 100%, 30%)')
(('school', 0.0045440941057646863), 9, (1606, 1485), None, 'hsl(0, 100%, 30%)')
(('young', 0.0045154869786880663), 9, (1519, 1615), 2, 'hsl(0, 100%, 30%)')
(('john', 0.0044847225926251495), 9, (1459, 1423), 2, 'hsl(0, 100%, 30%)')
(('itself', 0.004464212859584457), 9, (1644, 1696), None, 'hsl(0, 100%, 30%)')
(('almost', 0.0044586906855587491), 9, (1611, 1553), None, 'hsl(0, 100%, 30%)')
(('subject', 0.0044293996879753508), 9, (1502, 1563), 2, 'hsl(0, 100%, 30%)')
(('death', 0.0044229798752318363), 9, (1359, 1374), 2, 'hsl(0, 100%, 30%)')
(('important', 0.0044099607621960069), 9, (1537, 1433), 2, 'hsl(0, 100%, 30%)')
(('true', 0.0044035410315571982), 9, (1285, 1545), 2, 'hsl(0, 100%, 30%)')
(('possible', 0.0043990528112399429), 9, (1655, 1544), None, 'hsl(0, 100%, 30%)')
(('away', 0.0043950429961002917), 9, (1456, 1482), None, 'hsl(0, 100%, 30%)')
(('head', 0.0043912496420723162), 9, (1707, 1538), 2, 'hsl(0, 100%, 30%)')
(('whose', 0.0043863767347442082), 9, (1374, 1644), 2, 'hsl(0, 100%, 30%)')
(('best', 0.0043756539540277554), 9, (1631, 1484), 2, 'hsl(0, 100%, 30%)')
(('either', 0.0043733886932243891), 9, (1426, 1427), None, 'hsl(0, 100%, 30%)')
(('whom', 0.0043673122150690484), 9, (1543, 1472), 2, 'hsl(0, 100%, 30%)')
(('light', 0.0043469491277834706), 9, (1614, 1322), 2, 'hsl(0, 100%, 30%)')
(('whether', 0.0043435261048680243), 9, (1535, 1727), None, 'hsl(0, 100%, 30%)')
(('rather', 0.0043392133812492715), 9, (1475, 1684), 2, 'hsl(0, 100%, 30%)')
(('put', 0.0043354377043821578), 9, (1512, 1636), None, 'hsl(0, 100%, 30%)')
(('court', 0.0043211427947454162), 9, (1642, 1619), 2, 'hsl(0, 100%, 30%)')
(('times', 0.0043210195174137392), 9, (1567, 1246), None, 'hsl(0, 100%, 30%)')
(('let', 0.0043081117738788064), 9, (1659, 1292), 2, 'hsl(0, 100%, 30%)')
(('english', 0.0043065722283171176), 9, (1518, 1643), None, 'hsl(0, 100%, 30%)')
(('common', 0.0042623975088185145), 9, (1478, 1612), None, 'hsl(0, 100%, 30%)')
(('words', 0.0042576921111288409), 9, (1357, 1329), None, 'hsl(0, 100%, 30%)')
(('necessary', 0.0042566304074134415), 9, (1358, 1311), 2, 'hsl(0, 100%, 30%)')
(('nor', 0.0042067948820212493), 9, (1339, 1285), None, 'hsl(0, 100%, 30%)')
(('england', 0.0042061492222052466), 9, (1246, 1412), 2, 'hsl(0, 100%, 30%)')
(('home', 0.004203362729822786), 9, (1577, 1726), 2, 'hsl(0, 100%, 30%)')
(('done', 0.0041985597407677468), 9, (1385, 1477), 2, 'hsl(0, 100%, 30%)')
(('cases', 0.0041960593958530407), 9, (1364, 1347), 2, 'hsl(0, 100%, 30%)')
(('line', 0.004179287364352466), 9, (1424, 1667), 2, 'hsl(0, 100%, 30%)')
(('become', 0.0041759960792961152), 9, (1359, 1387), None, 'hsl(0, 100%, 30%)')
(('period', 0.0041538608171354354), 9, (1298, 1322), 2, 'hsl(0, 100%, 30%)')
(('took', 0.0041495269396614291), 9, (1548, 1541), 2, 'hsl(0, 100%, 30%)')
(('matter', 0.0041350615196567297), 9, (1303, 1528), 2, 'hsl(0, 100%, 30%)')
(('question', 0.0041332797306616884), 8, (1662, 1639), None, 'hsl(0, 100%, 30%)')
(('half', 0.0041272501128029656), 8, (1575, 1541), 2, 'hsl(0, 100%, 30%)')
(('went', 0.0041138737912559077), 8, (1367, 1383), 2, 'hsl(0, 100%, 30%)')
(('father', 0.004096183833278034), 8, (1349, 1283), None, 'hsl(0, 100%, 30%)')
(('human', 0.0040774264409225488), 8, (1589, 1647), 2, 'hsl(0, 100%, 30%)')
(('better', 0.0040671329570340442), 8, (1430, 1593), None, 'hsl(0, 100%, 30%)')
(('early', 0.0040641122298924609), 8, (1418, 1321), 2, 'hsl(0, 100%, 30%)')
(('get', 0.0040486905616388246), 8, (1674, 1520), 2, 'hsl(0, 100%, 30%)')
(('effect', 0.0040206148341259971), 8, (1370, 1572), 2, 'hsl(0, 100%, 30%)')
(('five', 0.0040132154083701542), 8, (1623, 1719), 2, 'hsl(0, 100%, 30%)')
(('york', 0.0040110372179761227), 8, (1515, 1375), None, 'hsl(0, 100%, 30%)')
(('social', 0.0039744502725357544), 8, (1413, 1389), 2, 'hsl(0, 100%, 30%)')
(('later', 0.0039690196618067013), 8, (1578, 1289), 2, 'hsl(0, 100%, 30%)')
(('although', 0.0039435002308748669), 8, (1299, 1645), None, 'hsl(0, 100%, 30%)')
(('company', 0.0039416086193873922), 8, (1443, 1343), 2, 'hsl(0, 100%, 30%)')
(('love', 0.0039404486201232661), 8, (1402, 1250), None, 'hsl(0, 100%, 30%)')
(('interest', 0.003929185090972156), 8, (1391, 1691), None, 'hsl(0, 100%, 30%)')
(('book', 0.0039279182186623988), 8, (1475, 1487), 2, 'hsl(0, 100%, 30%)')
(('action', 0.003853818486627214), 8, (1647, 1299), 2, 'hsl(0, 100%, 30%)')
