,res,start,end
hinterziehung,159,1850,2008
hiram,159,1850,2008
his,159,1850,2008
hochbauten,159,1850,2008
hochhalten,159,1850,2008
hocken,159,1850,2008
holtei,159,1850,2008
holzbrücke,159,1850,2008
holzdecke,159,1850,2008
holzplatte,159,1850,2008
hommes,159,1850,2008
homo,159,1850,2008
honestum,159,1850,2008
horas,159,1850,2008
howe,159,1850,2008
humana,159,1850,2008
humanum,159,1850,2008
hundertstel,159,1850,2008
hydrographischen,154,1850,2003
hürden,159,1850,2008
idea,159,1850,2008
ignorance,159,1850,2008
ignorantia,159,1850,2008
immobilie,68,1850,1917
impressionen,159,1850,2008
individuation,159,1850,2008
industria,159,1850,2008
industriellem,159,1850,2008
inselwelt,159,1850,2008
institutione,96,1850,1945
institutions,159,1850,2008
intellects,63,1850,1912
intellectum,159,1850,2008
intellectus,159,1850,2008
intelligit,89,1850,1938
intentione,159,1850,2008
interest,159,1850,2008
irrelevanten,159,1850,2008
irrgang,159,1850,2008
italie,159,1850,2008
italy,159,1850,2008
ivrea,159,1850,2008
jahraus,159,1850,2008
jahrein,159,1850,2008
jahreszins,159,1850,2008
janin,159,1850,2008
jemen,95,1850,1944
jenaer,159,1850,2008
joannis,159,1850,2008
jodgehalt,123,1850,1972
jourdain,92,1850,1941
judenchristlichen,93,1850,1942
june,159,1850,2008
junkers,159,1850,2008
justa,96,1850,1945
justes,159,1850,2008
justum,159,1850,2008
kachelofen,159,1850,2008
kairo,159,1850,2008
kalendertag,159,1850,2008
kammerwasser,91,1850,1940
kammerwassers,91,1850,1940
kampfbereitschaft,159,1850,2008
kanonisches,159,1850,2008
kaolin,159,1850,2008
karawane,159,1850,2008
karo,159,1850,2008
kautschuks,159,1850,2008
keimblättern,126,1850,1975
kellerräumen,159,1850,2008
kensington,159,1850,2008
kinderärzte,159,1850,2008
kirby,159,1850,2008
klappt,159,1850,2008
klaviers,159,1850,2008
kletterer,159,1850,2008
klimatologischen,159,1850,2008
klugem,159,1850,2008
kochbuch,159,1850,2008
kohlenhydrate,159,1850,2008
kompasses,159,1850,2008
kompetenzkonflikt,93,1850,1942
konstatire,58,1850,1907
kopfzerbrechen,159,1850,2008
korsaren,159,1850,2008
kreisel,159,1850,2008
kreuzungspunkt,159,1850,2008
kriegsentschädigung,159,1850,2008
kriegsfall,159,1850,2008
kriegsfalle,159,1850,2008
kriegsleistungen,159,1850,2008
kriegsschäden,159,1850,2008
kriegszwecke,159,1850,2008
kriegte,159,1850,2008
krönende,159,1850,2008
kulturvölkern,159,1850,2008
kunstgeschichtlich,159,1850,2008
kunstgeschichtliche,159,1850,2008
kunstideal,159,1850,2008
kunstrichtungen,159,1850,2008
kunstschriftsteller,159,1850,2008
kunstschönen,92,1850,1941
kunstund,159,1850,2008
kunstvereins,159,1850,2008
kuppelbau,159,1850,2008
kursk,159,1850,2008
kursächsischen,159,1850,2008
kybele,159,1850,2008
köller,94,1850,1943
köpke,94,1850,1943
körpergewicht,159,1850,2008
körpergewichtes,159,1850,2008
künstlerinnen,159,1850,2008
künstlernamen,159,1850,2008
küsst,159,1850,2008
laach,159,1850,2008
lactis,102,1850,1951
lagerhäuser,159,1850,2008
landeswährung,159,1850,2008
langhauses,159,1850,2008
laryngis,95,1850,1944
laufendem,159,1850,2008
lawson,159,1850,2008
